variable_source,document_source,role_source,variable_candidate,document_candidate,role_candidate,relation_type,confidence,proposed_canonical_field,reason,question_to_human,recommendation_if_validated
nb_actions,DOC-015;DOC-016;DOC-017;DOC-018;DOC-023;DOC-024;DOC-029;DOC-035;...(+8),montant / capital / titres,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
denomination_societe_cedee,DOC-023;DOC-024;DOC-029;DOC-031;DOC-032;DOC-033;DOC-035;DOC-036;...(+7),identité / qualification personne,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
departement_naissance,DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
numero_rcs_societe_cedee,DOC-023;DOC-024;DOC-029;DOC-031;DOC-032;DOC-033;DOC-035;DOC-036;...(+7),identité / qualification société,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
ville_naissance,DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),adresse / localisation,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
ville_rcs_societe_cedee,DOC-023;DOC-024;DOC-029;DOC-031;DOC-032;DOC-033;DOC-035;DOC-036;...(+7),adresse / localisation,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
numero_rpps,DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
date_cloture_exercice_1,DOC-015;DOC-016;DOC-017;DOC-018;DOC-019;DOC-020;DOC-021;DOC-023;...(+10),date / échéance,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
capital_lettres,DOC-015;DOC-016;DOC-017;DOC-018;DOC-019;DOC-020;DOC-021;DOC-025;...(+9),montant / capital / titres,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
profession_reglementee,DOC-016;DOC-017;DOC-018;DOC-029;DOC-034;DOC-035;DOC-036;DOC-037;...(+6),identité / qualification personne,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
numero_ordre,DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
regime_matrimonial,DOC-005;DOC-006;DOC-015;DOC-016;DOC-017;DOC-018;DOC-029;DOC-035;...(+8),à qualifier,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
nb_parts_apportees,DOC-023;DOC-024;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),montant / capital / titres,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
prenom_conjoint,DOC-005;DOC-006;DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;...(+7),identité / qualification personne,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
situation_maritale,DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),à qualifier,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
valeur_nominale_part_lettres,DOC-019;DOC-020;DOC-021;DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),montant / capital / titres,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
ville_ordre,DOC-013;DOC-014;DOC-016;DOC-017;DOC-018;DOC-034;DOC-035;DOC-036;...(+7),adresse / localisation,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
adresse_banque,DOC-016;DOC-017;DOC-018;DOC-019;DOC-020;DOC-021;DOC-025;DOC-035;...(+8),adresse / localisation,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
civilite_conjoint,DOC-005;DOC-006;DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;...(+7),identité / qualification personne,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
plage_parts_cedees,DOC-031;DOC-032;DOC-033;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;...(+4),montant / capital / titres,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
valeur_nominale_action_lettres,DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),montant / capital / titres,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
